,cod_ibge,nm_mun,nfam_estab_cx,nfam_estab_colm,fam_estab_cx,fam_estab_colm
0,2900108,Abaíra,1,0,3,0
1,2900207,Abaré,0,0,0,0
2,2900306,Acajutiba,0,0,1,0
3,2900355,Adustina,0,0,1,0
4,2900405,Água Fria,11,303,12,294
5,2900504,Érico Cardoso,1,0,1,0
6,2900603,Aiquara,0,0,0,0
7,2900702,Alagoinhas,2,0,20,0
8,2900801,Alcobaça,0,0,13,0
9,2900900,Almadina,0,0,0,0
10,2901007,Amargosa,3,16,25,172
11,2901106,Amélia Rodrigues,0,0,0,0
12,2901155,América Dourada,3,98,3,58
13,2901205,Anagé,4,31,10,80
14,2901304,Andaraí,14,472,12,1215
15,2901353,Andorinha,5,39,14,115
16,2901403,Angical,0,0,0,0
17,2901502,Anguera,1,0,0,0
18,2901601,Antas,1,0,2,0
19,2901700,Antônio Cardoso,5,0,2,0
20,2901809,Antônio Gonçalves,3,75,3,38
21,2901908,Aporá,0,0,0,0
22,2901957,Apuarema,0,0,2,0
23,2902005,Aracatu,6,46,6,55
24,2902054,Araçás,5,104,13,92
25,2902104,Araci,9,200,24,394
26,2902203,Aramari,2,0,4,0
27,2902252,Arataca,0,0,0,0
28,2902302,Aratuípe,2,0,5,0
29,2902401,Aurelino Leal,0,0,0,0
30,2902500,Baianópolis,0,0,0,0
31,2902609,Baixa Grande,17,292,37,699
32,2902658,Banzaê,9,344,64,1766
33,2902708,Barra,2,0,3,0
34,2902807,Barra da Estiva,6,49,28,325
35,2902906,Barra do Choça,9,5231,8,321
36,2903003,Barra do Mendes,0,0,0,0
37,2903102,Barra do Rocha,0,0,2,0
38,2903201,Barreiras,1,0,1,0
39,2903235,Barro Alto,2,0,3,0
40,2903276,Barrocas,5,87,10,210
41,2903300,Barro Preto,0,0,0,0
42,2903409,Belmonte,1,0,3,0
43,2903508,Belo Campo,1,0,0,0
44,2903607,Biritinga,4,59,5,102
45,2903706,Boa Nova,0,0,6,0
46,2903805,Boa Vista do Tupim,0,0,0,0
47,2903904,Bom Jesus da Lapa,5,40,45,581
48,2903953,Bom Jesus da Serra,0,0,1,0
49,2904001,Boninal,3,22,12,93
50,2904050,Bonito,1,0,3,0
51,2904100,Boquira,1,0,2,0
52,2904209,Botuporã,5,54,15,176
53,2904308,Brejões,0,0,1,0
54,2904407,Brejolândia,0,0,0,0
55,2904506,Brotas de Macaúbas,7,58,28,308
56,2904605,Brumado,2,0,3,0
57,2904704,Buerarema,0,0,1,0
58,2904753,Buritirama,1,0,6,0
59,2904803,Caatiba,2,0,1,0
60,2904852,Cabaceiras do Paraguaçu,0,0,2,0
61,2904902,Cachoeira,0,0,6,0
62,2905008,Caculé,22,141,32,437
63,2905107,Caém,5,128,21,305
64,2905156,Caetanos,1,0,9,0
65,2905206,Caetité,3,8,13,87
66,2905305,Cafarnaum,0,0,5,0
67,2905404,Cairu,0,0,0,0
68,2905503,Caldeirão Grande,3,57,6,134
69,2905602,Camacan,0,0,0,0
70,2905701,Camaçari,10,160,17,226
71,2905800,Camamu,0,0,0,0
72,2905909,Campo Alegre de Lourdes,118,2675,1203,24505
