id,cd_mun,nm_mun,sigla_uf,area_km2,ter_ident,est_agrico,est_agricf,biomapredo
1,"2900108",Abaíra,BA,538.677001953125,Chapada Diamantina,919,820,Caatinga
2,"2900207",Abaré,BA,1604.92297363281,Itaparica,1885,1700,Caatinga
3,"2900306",Acajutiba,BA,181.475006103516,Litoral Norte e Agreste Baiano,1337,1203,Caatinga
4,"2900355",Adustina,BA,629.098999023438,Semiárido Nordeste II,3249,2744,Caatinga
5,"2900504",Érico Cardoso,BA,735.2490234375,Bacia do Paramirim,1989,1773,Caatinga
6,"2900603",Aiquara,BA,167.876998901367,Médio Rio de Contas,329,202,Mata Atlântica
7,"2900801",Alcobaça,BA,1477.92895507812,Extremo Sul,1246,1072,Mata Atlântica
8,"2900900",Almadina,BA,245.235992431641,Litoral Sul,197,107,Mata Atlântica
9,"2901007",Amargosa,BA,431.654998779297,Vale do Jiquiriçá,2727,2232,Mata Atlântica
10,"2901106",Amélia Rodrigues,BA,166.871994018555,Portal do Sertão,323,232,Mata Atlântica
11,"2901155",América Dourada,BA,822.372985839844,Irecê,1301,989,Caatinga
12,"2901304",Andaraí,BA,1590.31604003906,Chapada Diamantina,954,696,Caatinga
13,"2901353",Andorinha,BA,1362.38598632812,Piemonte Norte do Itapicuru,2401,1799,Caatinga
14,"2901403",Angical,BA,1530.05004882812,Bacia do Rio Grande,1292,991,Cerrado
15,"2901957",Apuarema,BA,150.830001831055,Médio Rio de Contas,416,331,Mata Atlântica
16,"2902005",Aracatu,BA,1489.80297851562,Sudoeste Baiano,3017,2159,Caatinga
17,"2902054",Araçás,BA,474.576995849609,Litoral Norte e Agreste Baiano,851,685,Mata Atlântica
18,"2902104",Araci,BA,1496.24499511719,Sisal,4779,3635,Caatinga
19,"2902252",Arataca,BA,435.962005615234,Litoral Sul,768,597,Mata Atlântica
20,"2902302",Aratuípe,BA,174.011993408203,Baixo Sul,914,721,Mata Atlântica
21,"2902401",Aurelino Leal,BA,445.394012451172,Litoral Sul,378,245,Mata Atlântica
22,"2902500",Baianópolis,BA,3320.72290039062,Bacia do Rio Grande,2130,1578,Cerrado
23,"2902609",Baixa Grande,BA,967.513977050781,Bacia do Jacuípe,2642,1951,Caatinga
24,"2902658",Banzaê,BA,409.506988525391,Semiárido Nordeste II,1754,1590,Caatinga
25,"2902807",Barra da Estiva,BA,1657.41296386719,Chapada Diamantina,3774,2566,Caatinga
26,"2902906",Barra do Choça,BA,765.935974121094,Sudoeste Baiano,1996,1217,Mata Atlântica
27,"2903003",Barra do Mendes,BA,1436.29797363281,Irecê,1995,1431,Caatinga
28,"2903102",Barra do Rocha,BA,214.410995483398,Médio Rio de Contas,461,296,Mata Atlântica
29,"2903201",Barreiras,BA,8051.27392578125,Bacia do Rio Grande,2192,1204,Cerrado
30,"2903235",Barro Alto,BA,414.510009765625,Irecê,1866,1455,Caatinga
31,"2903276",Barrocas,BA,207.296997070312,Sisal,1589,1091,Caatinga
32,"2903300",Barro Preto,BA,201.585006713867,Litoral Sul,393,257,Mata Atlântica
33,"2903409",Belmonte,BA,1939.44702148438,Costa do Descobrimento,1397,1113,Mata Atlântica
34,"2903607",Biritinga,BA,553.762023925781,Sisal,2577,2018,Caatinga
35,"2903805",Boa Vista do Tupim,BA,2972.10888671875,Piemonte do Paraguaçu,2536,1901,Caatinga
