,cod_ibge,nm_mun,nfam_estab,fam_estab,nfam_cabecas,fam_cabecas,sisprod
0,2900108,Abaíra (BA),4,32,49,349,Caprinocultura
1,2900207,Abaré (BA),109,994,8342,58381,Caprinocultura
2,2900306,Acajutiba (BA),1,2,0,0,Caprinocultura
3,2900355,Adustina (BA),20,67,987,677,Caprinocultura
4,2900405,Água Fria (BA),9,35,164,188,Caprinocultura
5,2900504,Érico Cardoso (BA),6,30,20,102,Caprinocultura
6,2900603,Aiquara (BA),1,2,0,0,Caprinocultura
7,2900702,Alagoinhas (BA),11,30,171,209,Caprinocultura
8,2900801,Alcobaça (BA),3,4,0,0,Caprinocultura
9,2900900,Almadina (BA),1,0,0,0,Caprinocultura
10,2901007,Amargosa (BA),6,15,86,88,Caprinocultura
11,2901106,Amélia Rodrigues (BA),7,8,73,43,Caprinocultura
12,2901155,América Dourada (BA),25,114,701,1830,Caprinocultura
13,2901205,Anagé (BA),43,269,1123,5480,Caprinocultura
14,2901304,Andaraí (BA),16,21,576,310,Caprinocultura
15,2901353,Andorinha (BA),233,912,9612,28157,Caprinocultura
16,2901403,Angical (BA),12,27,210,517,Caprinocultura
17,2901502,Anguera (BA),5,18,92,257,Caprinocultura
18,2901601,Antas (BA),9,15,17,94,Caprinocultura
19,2901700,Antônio Cardoso (BA),27,21,1067,298,Caprinocultura
20,2901809,Antônio Gonçalves (BA),2,19,0,0,Caprinocultura
21,2901908,Aporá (BA),7,33,39,209,Caprinocultura
22,2901957,Apuarema (BA),0,0,0,0,Caprinocultura
23,2902005,Aracatu (BA),60,185,1582,3763,Caprinocultura
24,2902054,Araçás (BA),6,8,0,0,Caprinocultura
25,2902104,Araci (BA),198,641,9710,12068,Caprinocultura
26,2902203,Aramari (BA),4,10,26,68,Caprinocultura
27,2902252,Arataca (BA),0,0,0,0,Caprinocultura
28,2902302,Aratuípe (BA),1,2,0,0,Caprinocultura
29,2902401,Aurelino Leal (BA),0,1,0,0,Caprinocultura
30,2902500,Baianópolis (BA),7,19,63,125,Caprinocultura
31,2902609,Baixa Grande (BA),29,65,1245,1073,Caprinocultura
32,2902658,Banzaê (BA),2,32,0,0,Caprinocultura
33,2902708,Barra (BA),32,204,904,2169,Caprinocultura
34,2902807,Barra da Estiva (BA),17,49,1063,911,Caprinocultura
35,2902906,Barra do Choça (BA),13,12,311,259,Caprinocultura
36,2903003,Barra do Mendes (BA),37,73,873,1424,Caprinocultura
37,2903102,Barra do Rocha (BA),1,2,0,0,Caprinocultura
38,2903201,Barreiras (BA),34,25,721,288,Caprinocultura
39,2903235,Barro Alto (BA),27,106,788,1788,Caprinocultura
40,2903276,Barrocas (BA),16,53,361,875,Caprinocultura
41,2903300,Barro Preto (BA),4,1,0,0,Caprinocultura
42,2903409,Belmonte (BA),3,2,0,0,Caprinocultura
43,2903508,Belo Campo (BA),10,59,110,1232,Caprinocultura
44,2903607,Biritinga (BA),6,30,0,0,Caprinocultura
45,2903706,Boa Nova (BA),9,59,550,1160,Caprinocultura
46,2903805,Boa Vista do Tupim (BA),77,162,2810,2419,Caprinocultura
47,2903904,Bom Jesus da Lapa (BA),19,83,689,1298,Caprinocultura
48,2903953,Bom Jesus da Serra (BA),14,152,561,2477,Caprinocultura
49,2904001,Boninal (BA),12,28,107,180,Caprinocultura
50,2904050,Bonito (BA),5,4,119,36,Caprinocultura
51,2904100,Boquira (BA),95,433,1657,8187,Caprinocultura
52,2904209,Botuporã (BA),4,21,67,219,Caprinocultura
53,2904308,Brejões (BA),22,20,354,186,Caprinocultura
54,2904407,Brejolândia (BA),7,13,0,0,Caprinocultura
55,2904506,Brotas de Macaúbas (BA),4,94,61,3078,Caprinocultura
56,2904605,Brumado (BA),63,166,1469,3044,Caprinocultura
57,2904704,Buerarema (BA),1,1,0,0,Caprinocultura
58,2904753,Buritirama (BA),17,319,312,5498,Caprinocultura
59,2904803,Caatiba (BA),5,3,145,0,Caprinocultura
60,2904852,Cabaceiras do Paraguaçu (BA),26,50,1003,471,Caprinocultura
61,2904902,Cachoeira (BA),22,60,130,508,Caprinocultura
62,2905008,Caculé (BA),7,28,91,334,Caprinocultura
63,2905107,Caém (BA),21,58,307,838,Caprinocultura
64,2905156,Caetanos (BA),144,655,4100,19248,Caprinocultura
65,2905206,Caetité (BA),25,58,206,316,Caprinocultura
66,2905305,Cafarnaum (BA),47,172,828,3050,Caprinocultura
67,2905404,Cairu (BA),0,0,0,0,Caprinocultura
68,2905503,Caldeirão Grande (BA),4,72,0,0,Caprinocultura
69,2905602,Camacan (BA),1,1,0,0,Caprinocultura
70,2905701,Camaçari (BA),34,40,524,489,Caprinocultura
71,2905800,Camamu (BA),2,2,0,0,Caprinocultura
72,2905909,Campo Alegre de Lourdes (BA),299,2837,6204,66350,Caprinocultura
73,2906006,Campo Formoso (BA),328,1322,28490,53588,Caprinocultura
74,2906105,Canápolis (BA),1,2,0,0,Caprinocultura
75,2906204,Canarana (BA),42,154,586,2418,Caprinocultura
76,2906303,Canavieiras (BA),4,4,120,67,Caprinocultura
77,2906402,Candeal (BA),8,34,354,392,Caprinocultura
78,2906501,Candeias (BA),8,20,0,0,Caprinocultura
79,2906600,Candiba (BA),8,27,148,323,Caprinocultura
80,2906709,Cândido Sales (BA),11,13,367,107,Caprinocultura
81,2906808,Cansanção (BA),157,599,6144,12360,Caprinocultura
82,2906824,Canudos (BA),275,694,24157,36096,Caprinocultura
83,2906857,Capela do Alto Alegre (BA),26,71,654,1202,Caprinocultura
84,2906873,Capim Grosso (BA),44,144,1852,1906,Caprinocultura
85,2906899,Caraíbas (BA),69,231,1237,5513,Caprinocultura
86,2906907,Caravelas (BA),3,4,0,24,Caprinocultura
87,2907004,Cardeal da Silva (BA),1,1,0,0,Caprinocultura
88,2907103,Carinhanha (BA),16,58,0,0,Caprinocultura
89,2907202,Casa Nova (BA),1183,4481,60205,209640,Caprinocultura
90,2907301,Castro Alves (BA),6,15,292,536,Caprinocultura
91,2907400,Catolândia (BA),3,5,0,0,Caprinocultura
92,2907509,Catu (BA),7,12,131,38,Caprinocultura
93,2907558,Caturama (BA),13,60,327,830,Caprinocultura
94,2907608,Central (BA),60,200,1299,4541,Caprinocultura
95,2907707,Chorrochó (BA),43,979,7949,59296,Caprinocultura
96,2907806,Cícero Dantas (BA),33,124,559,1211,Caprinocultura
97,2907905,Cipó (BA),14,33,84,293,Caprinocultura
98,2908002,Coaraci (BA),2,1,0,0,Caprinocultura
99,2908101,Cocos (BA),4,10,0,0,Caprinocultura
100,2908200,Conceição da Feira (BA),6,15,57,126,Caprinocultura
101,2908309,Conceição do Almeida (BA),3,4,0,0,Caprinocultura
102,2908408,Conceição do Coité (BA),141,564,2343,7998,Caprinocultura
103,2908507,Conceição do Jacuípe (BA),1,6,0,0,Caprinocultura
104,2908606,Conde (BA),10,6,164,134,Caprinocultura
105,2908705,Condeúba (BA),10,33,92,260,Caprinocultura
106,2908804,Contendas do Sincorá (BA),3,16,260,396,Caprinocultura
107,2908903,Coração de Maria (BA),20,49,316,288,Caprinocultura
108,2909000,Cordeiros (BA),3,45,25,410,Caprinocultura
109,2909109,Coribe (BA),7,21,103,310,Caprinocultura
110,2909208,Coronel João Sá (BA),22,66,193,576,Caprinocultura
111,2909307,Correntina (BA),12,14,350,108,Caprinocultura
112,2909406,Cotegipe (BA),38,85,1017,1788,Caprinocultura
113,2909505,Cravolândia (BA),1,0,0,0,Caprinocultura
114,2909604,Crisópolis (BA),6,36,50,228,Caprinocultura
115,2909703,Cristópolis (BA),6,33,0,0,Caprinocultura
116,2909802,Cruz das Almas (BA),0,4,0,57,Caprinocultura
117,2909901,Curaçá (BA),502,2242,43381,155185,Caprinocultura
118,2910008,Dário Meira (BA),3,4,0,0,Caprinocultura
119,2910057,Dias d'Ávila (BA),1,6,0,0,Caprinocultura
120,2910107,Dom Basílio (BA),8,123,84,1753,Caprinocultura
121,2910206,Dom Macedo Costa (BA),6,1,0,0,Caprinocultura
122,2910305,Elísio Medrado (BA),2,9,0,0,Caprinocultura
123,2910404,Encruzilhada (BA),16,22,613,454,Caprinocultura
124,2910503,Entre Rios (BA),10,5,237,44,Caprinocultura
125,2910602,Esplanada (BA),8,20,224,176,Caprinocultura
126,2910701,Euclides da Cunha (BA),113,573,4729,9875,Caprinocultura
127,2910727,Eunápolis (BA),5,5,0,0,Caprinocultura
128,2910750,Fátima (BA),7,39,31,180,Caprinocultura
129,2910776,Feira da Mata (BA),8,14,227,191,Caprinocultura
130,2910800,Feira de Santana (BA),105,200,1448,1840,Caprinocultura
131,2910859,Filadélfia (BA),9,55,646,607,Caprinocultura
132,2910909,Firmino Alves (BA),3,0,87,0,Caprinocultura
133,2911006,Floresta Azul (BA),0,0,0,0,Caprinocultura
134,2911105,Formosa do Rio Preto (BA),14,37,351,476,Caprinocultura
135,2911204,Gandu (BA),2,0,0,0,Caprinocultura
136,2911253,Gavião (BA),20,107,766,2155,Caprinocultura
137,2911303,Gentio do Ouro (BA),8,36,294,1052,Caprinocultura
138,2911402,Glória (BA),98,713,4864,25543,Caprinocultura
139,2911501,Gongogi (BA),1,1,0,0,Caprinocultura
140,2911600,Governador Mangabeira (BA),9,8,159,40,Caprinocultura
141,2911659,Guajeru (BA),10,47,112,458,Caprinocultura
142,2911709,Guanambi (BA),21,54,649,641,Caprinocultura
143,2911808,Guaratinga (BA),24,10,568,126,Caprinocultura
144,2911857,Heliópolis (BA),1,9,0,0,Caprinocultura
145,2911907,Iaçu (BA),104,106,6352,2041,Caprinocultura
146,2912004,Ibiassucê (BA),6,35,30,254,Caprinocultura
147,2912103,Ibicaraí (BA),0,0,0,0,Caprinocultura
148,2912202,Ibicoara (BA),5,0,15,0,Caprinocultura
149,2912301,Ibicuí (BA),12,4,0,0,Caprinocultura
150,2912400,Ibipeba (BA),37,74,1330,1786,Caprinocultura
151,2912509,Ibipitanga (BA),133,368,2773,7779,Caprinocultura
152,2912608,Ibiquera (BA),5,17,1110,483,Caprinocultura
153,2912707,Ibirapitanga (BA),0,0,0,0,Caprinocultura
154,2912806,Ibirapuã (BA),4,1,0,0,Caprinocultura
155,2912905,Ibirataia (BA),0,0,0,0,Caprinocultura
156,2913002,Ibitiara (BA),139,296,3013,7835,Caprinocultura
157,2913101,Ibititá (BA),28,67,489,1156,Caprinocultura
158,2913200,Ibotirama (BA),18,26,723,193,Caprinocultura
159,2913309,Ichu (BA),3,9,0,0,Caprinocultura
160,2913408,Igaporã (BA),7,8,72,40,Caprinocultura
161,2913457,Igrapiúna (BA),1,0,0,0,Caprinocultura
162,2913507,Iguaí (BA),6,3,0,0,Caprinocultura
163,2913606,Ilhéus (BA),9,11,184,112,Caprinocultura
164,2913705,Inhambupe (BA),9,21,82,130,Caprinocultura
165,2913804,Ipecaetá (BA),59,142,1551,1457,Caprinocultura
166,2913903,Ipiaú (BA),1,5,0,0,Caprinocultura
167,2914000,Ipirá (BA),119,329,5838,4721,Caprinocultura
168,2914109,Ipupiara (BA),11,46,416,1092,Caprinocultura
169,2914208,Irajuba (BA),3,3,0,293,Caprinocultura
170,2914307,Iramaia (BA),10,37,180,968,Caprinocultura
171,2914406,Iraquara (BA),21,116,310,1126,Caprinocultura
172,2914505,Irará (BA),11,33,105,149,Caprinocultura
173,2914604,Irecê (BA),11,21,369,286,Caprinocultura
174,2914653,Itabela (BA),16,1,0,0,Caprinocultura
175,2914703,Itaberaba (BA),90,132,5226,2081,Caprinocultura
176,2914802,Itabuna (BA),1,1,0,0,Caprinocultura
177,2914901,Itacaré (BA),1,4,0,0,Caprinocultura
178,2915007,Itaeté (BA),17,21,888,509,Caprinocultura
179,2915106,Itagi (BA),3,2,0,0,Caprinocultura
180,2915205,Itagibá (BA),12,2,0,0,Caprinocultura
181,2915304,Itagimirim (BA),4,0,290,0,Caprinocultura
